path,expected_status,expected_location_prefix
/buying/vinted-australia/,200,/guides/vinted-australia/
/buying/vinted-australia,200,/guides/vinted-australia/
/guides/how-does-bushpop-work/,200,/about/how-it-works/
/guides/how-does-bushpop-work,200,/about/how-it-works/
/topics/uncategorized/,200,/gone/
/topics/uncategorized,200,/gone/
/brand/adidas/,200,/guides/size-charts/
/brand/nike/,200,/guides/size-charts/
/brand/other/,200,/shop/
/brand/tommy-hilfiger/,200,/guides/size-charts/
/guides/mastering-the-art-of-authenticating-designer-clothes/,200,/guides/size-charts/
/guides/how-to-detect-fake-nike-dunk-highs/,200,/guides/size-charts/
/topics/guides/,200,/guides/size-charts/
/topics/selling/,200,/about/selling/
/topics/whats-on/,200,/whats-on/
/topics/zine/,200,/zine/
/account/,200,/
/cart/,200,/
/checkout/,200,/
/dashboard/,200,/
/explore/,200,/shop/
/login/,200,/
/my-account/,200,/
/sell/,200,/about/selling/
/sell/bulk-listing/,200,/about/selling/
/sellers/,200,/about/selling/
/signup/,200,/
/uncategorised/,200,/
/giveaways/,200,/
/giveaways/airpods-pro/,200,/
/giveaways/north-face-puffer/,200,/
/shop/vintage-denim-jacket,200,/shop/
/shop/some-random-product-slug/,200,/shop/
/brands/nike/,200,/guides/size-charts/
/brands/adidas-vintage/,200,/guides/size-charts/
/source/vintage/,200,/shop/
/source/deadstock/,200,/shop/
/womens-tops/,200,/shop/
/womens-dresses-formal/,200,/shop/
/mens-shirts/,200,/shop/
/mens-jackets-winter/,200,/shop/
/bags/,200,/shop/
/handbags/,200,/shop/
/jewellery/,200,/shop/
/kids/,200,/shop/
/lingerie/,200,/shop/
/men/,200,/shop/
/women/,200,/shop/
/tote-bags/,200,/shop/
/uncategorized/best-australia-offers-at-web-casinos/,410,
/uncategorized/bof-casino-your-own-portal-to-elite-internet-gambling/,410,
/uncategorized/captain-cook-casino-your-own-entry-point-to-high-end-online-gaming/,410,
/,200,
/shop/,200,
/guides/size-charts/,200,
/guides/size-charts/nike/,200,
/about/,200,
/about/how-it-works/,200,
/tag/example/,404,
